GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
302,101,2,2.5,3.5,7.96,0,0.46
303,102,3,3.5,3,8.5,0,0.62
314,107,2,2.5,4,8.27,0,0.72
308,106,3,3.5,2.5,8.21,1,0.75
316,102,3,2,3,7.4,0,0.64
319,108,2,2.5,3,8.76,0,0.66
324,111,4,3,3,9.01,1,0.82
311,105,2,3,2,8.12,1,0.73
309,105,5,3.5,3.5,8.56,0,0.71
316,100,2,1.5,3,8.16,1,0.71
325,114,5,4,5,9.46,1,0.91
325,111,4,4,4.5,9.11,1,0.83
340,120,5,4.5,4.5,9.6,1,0.94
305,96,4,3,4.5,8.26,0,0.54
317,110,3,4,4.5,9.11,1,0.8
311,104,2,2.5,3.5,8.48,0,0.71
329,114,5,4.5,5,9.19,1,0.86
290,104,4,2,2.5,7.46,0,0.45
313,107,2,2.5,2,8.5,1,0.53
313,103,3,4,4,8.75,0,0.76
329,119,4,4.5,4.5,9.16,1,0.9
317,106,3,4,3.5,8.5,1,0.75
324,105,3,3,4,8.75,0,0.79
319,106,3,3.5,2.5,8.33,1,0.74
312,110,2,3.5,3,8.53,0,0.64
309,111,2,2.5,4,8.03,0,0.6
334,120,5,4,5,9.87,1,0.97
323,113,3,4,3,9.32,1,0.85
297,96,2,2.5,1.5,7.89,0,0.43
327,103,3,4,4,8.3,1,0.74
320,110,2,4,3.5,8.56,0,0.72
311,103,3,2,4,8.09,0,0.64
299,96,2,1.5,2,7.86,0,0.54
329,110,2,4,3,9.15,1,0.84
298,99,2,4,2,7.6,0,0.46
322,114,5,4.5,4,8.94,1,0.86
336,119,5,4,3.5,9.8,1,0.97
319,106,3,4,3,8,1,0.65
313,102,3,2.5,2.5,8.68,0,0.71
327,114,3,3,3,9.02,0,0.61
305,106,2,3,3,8.16,0,0.64
321,102,3,3.5,4,9.01,1,0.8
303,99,3,2,2.5,7.66,0,0.36
335,115,4,4.5,4.5,9.68,1,0.93
312,105,2,2,2.5,8.45,0,0.72
334,119,5,5,4.5,9.7,1,0.95
324,113,4,4.5,4,8.79,0,0.76
312,104,3,3.5,4,8.09,0,0.71
311,104,3,4,3.5,8.13,1,0.74
330,115,5,4.5,3,9.34,1,0.9
299,102,3,4,3.5,8.62,0,0.56
322,110,5,5,4,9.1,1,0.88
317,107,3,4,3,8.7,0,0.66
304,107,3,3.5,3,7.86,0,0.57
301,104,2,3.5,3.5,7.89,1,0.68
322,110,3,3.5,2.5,8.67,1,0.8
324,110,4,3,3.5,8.97,1,0.84
322,103,4,3,2.5,8.02,1,0.61
309,100,2,3,3,8.1,0,0.48
305,108,5,3,3,8.48,0,0.61
324,111,3,2.5,2,8.8,1,0.79
340,115,5,5,4.5,9.06,1,0.95
310,99,2,1.5,2,7.3,0,0.54
318,110,1,2.5,3.5,8.54,1,0.67
324,113,5,4,5,9.25,1,0.92
322,109,5,4.5,3.5,8.8,0,0.76
308,101,2,3,4,7.9,0,0.68
310,105,2,3,3.5,8.01,0,0.71
331,116,5,5,5,9.38,1,0.93
300,105,1,1,2,7.8,0,0.58
309,104,2,2,2.5,8.26,0,0.65
318,101,5,3.5,5,8.78,1,0.78
296,99,2,3,3.5,7.28,0,0.47
311,105,3,3.5,3,8.45,1,0.59
320,111,4,4.5,3.5,8.87,1,0.85
315,105,2,2,2.5,7.65,0,0.39
305,107,2,2.5,2.5,8.42,0,0.71
325,112,2,3,3.5,8.96,1,0.8
310,103,2,2.5,2.5,8.24,0,0.72
322,104,3,3.5,4,8.84,1,0.78
307,107,2,3,3.5,8.52,1,0.78
302,99,3,2.5,3,7.45,0,0.52
322,110,3,3.5,3,8.96,1,0.78
327,118,4,5,5,9.67,1,0.93
332,118,2,4.5,3.5,9.36,1,0.9
330,116,4,5,4.5,9.45,1,0.91
316,107,2,3.5,3.5,8.64,1,0.57
325,108,4,4.5,4,9.06,1,0.79
293,97,2,2,4,7.8,1,0.64
301,99,3,2.5,2,8.45,1,0.68
297,96,2,2.5,2,7.43,0,0.34
321,110,4,3.5,4,8.35,1,0.72
294,95,1,1.5,1.5,7.64,0,0.49
304,103,5,5,4,8.64,0,0.68
324,110,3,3.5,4,8.87,1,0.8
320,113,2,2,2.5,8.64,1,0.81
298,98,2,4,3,8.03,0,0.34
321,112,5,5,5,9.06,1,0.86
298,92,1,2,2,7.88,0,0.51
323,110,4,4,5,8.88,1,0.81
322,115,5,4,4.5,9.36,1,0.92
328,110,4,4,2.5,9.02,1,0.81
322,110,5,4.5,4,8.97,0,0.78
317,105,3,3.5,3,8.56,0,0.68
313,107,3,4,4.5,8.69,0,0.72
318,112,3,4,3.5,8.67,0,0.71
314,106,3,3,5,8.9,0,0.74
325,110,4,4.5,4,8.96,1,0.79
314,105,2,2.5,2,7.64,0,0.7
320,104,3,3,2.5,8.57,1,0.74
327,104,5,3,3.5,8.84,1,0.71
320,104,3,3,3.5,8.74,1,0.76
305,112,3,3,3.5,8.65,0,0.71
307,110,4,4,4.5,8.37,0,0.79
297,98,2,2.5,3,7.67,0,0.59
304,100,2,3.5,3,8.22,0,0.63
296,99,2,2.5,2.5,8.03,0,0.61
300,102,3,3.5,2.5,8.17,0,0.63
330,113,5,5,4,9.31,1,0.91
300,100,3,3,3.5,8.26,0,0.62
315,100,1,2,2.5,7.95,0,0.58
299,106,2,4,4,8.4,0,0.64
306,105,2,3,2.5,8.26,0,0.73
318,109,1,3.5,3.5,9.12,0,0.78
330,114,4,4.5,3,9.17,1,0.86
314,107,2,2.5,4,8.56,0,0.63
305,104,2,2.5,1.5,7.79,0,0.53
336,118,5,4.5,4,9.19,1,0.92
311,104,2,2,2,8.3,0,0.42
321,109,4,4,4,8.68,1,0.69
316,109,4,4.5,3.5,8.76,1,0.74
317,106,1,1.5,3.5,7.65,1,0.61
321,109,3,3,4,8.2,1,0.75
334,116,4,4,3.5,9.54,1,0.93
304,97,2,1.5,2,7.64,0,0.47
323,108,5,4,4,8.74,1,0.81
306,106,2,2,2.5,8.14,0,0.61
334,114,4,4,4,9.43,1,0.93
319,110,3,3.5,3.5,9.04,0,0.82
329,111,4,4.5,4,9.23,1,0.89
316,106,2,2.5,4,8.32,0,0.72
320,112,4,3,4.5,8.86,1,0.82
325,106,3,3.5,4,8.4,1,0.52
319,105,3,3,3.5,8.67,1,0.73
317,104,2,4.5,4,8.47,0,0.57
340,120,4,5,5,9.5,1,0.96
304,105,1,3,1.5,7.5,0,0.52
305,105,2,3,4,8.13,0,0.66
313,102,3,2,3,8.27,0,0.64
320,110,5,4,4,9.27,1,0.87
310,107,3,3.5,3.5,8.67,0,0.76
300,101,3,3.5,2.5,7.88,0,0.59
311,104,3,4.5,4.5,8.43,0,0.7
320,120,3,4,4.5,9.11,0,0.86
316,103,3,3.5,2,7.68,0,0.52
315,105,3,2,2.5,8.48,0,0.75
317,104,2,3,3,8.76,0,0.77
326,114,3,3,3,9.11,1,0.83
312,109,2,2.5,4,9.02,0,0.8
324,114,5,5,4.5,9.08,1,0.89
308,108,3,3.5,3.5,8.22,0,0.61
301,98,1,2,3,8.03,1,0.67
306,100,2,3,3,8,0,0.48
340,120,4,4.5,4,9.92,1,0.97
299,100,1,1.5,2,7.89,0,0.59
327,116,4,4,4.5,9.48,1,0.9
331,120,3,4,4,8.96,1,0.86
297,101,3,2,4,7.67,1,0.57
310,106,4,1.5,2.5,8.36,0,0.57
314,110,3,4,4,8.8,0,0.75
340,120,5,4.5,4.5,9.91,1,0.97
316,105,3,3,3.5,8.73,0,0.72
321,109,3,3.5,3.5,8.8,1,0.74
330,114,3,4.5,4.5,9.24,1,0.9
325,110,4,3.5,4,8.67,1,0.73
322,112,4,3.5,2.5,9.02,1,0.73
325,107,3,3,3.5,9.11,1,0.84
340,112,4,5,4.5,9.66,1,0.94
300,100,3,2,3,8.66,1,0.64
322,105,2,3,3,8.45,1,0.65
308,109,2,3,4,8.45,0,0.71
323,111,5,4,5,9.86,1,0.92
312,104,3,3.5,3.5,8.42,0,0.74
333,118,5,5,5,9.35,1,0.92
321,112,3,3,4.5,8.95,1,0.77
313,109,3,4,3.5,9,0,0.79
305,102,2,1.5,2.5,7.64,0,0.59
290,100,1,1.5,2,7.56,0,0.47
300,102,2,1.5,2,7.87,0,0.56
317,106,2,2,3.5,8.12,0,0.73
316,101,2,2.5,2,8.32,1,0.61
